古代帝王的女婿，也就是公主的丈夫通常被称为什么爷	驸马爷
位于湖北省，有“中国道教第一山”之称的是哪座名山	武当山
由英达导演，宋丹丹、梁天、关凌等主演的中国第一部室内情景剧叫什么	我爱我家
已知的世界上最坚硬的天然物质是什么	不懂,没有任何比钻石更硬的物质了,因为金刚石就是钻石的原料
按照传统，春节时贴在窗上的剪纸又叫什么	窗花
长沙的区号是多少	0731
京剧名段《铡美案》是讲包公把哪个负心汉斩首	陈世美 斩首
以双子塔为地标的马来西亚首都是哪个城市	 马来西亚首都--吉隆坡的地标-双子塔(国家石油大厦)
诗句“欲穷千里目”的下一句是	哈!这就对了.是 更上一层楼 全面股改号角既已吹响,胜利定在最后坚持之中!而去选择悲伤..镜子的自己,竟如此的糜烂不堪,这是自己吗
周华健代表歌曲，一般也用来指责男人不专一，是哪首歌	《花心》 《花心》
港星钱嘉乐的老婆是哪位TVB女星	汤盈盈 汤盈盈
被印度人民称为“母亲河”的是哪条河流	母亲河”的是 恒河
刘翔是110米跨栏的名将，请问男子110米栏有几个栏	是2004年雅典奥运会的110米栏比赛,刘翔以12秒91的成绩平了由黑人保持11年的世界纪录,这是中国人夺得的第一枚奥运田径金
北京大学的地址在哪里	北京大学地址:北京市海淀区颐和园路5号附近公交A、海淀桥北公交站乘坐302路332路333内环333外环584路夜8路运通106线运通114线运通118线运通124线到海
吴门四大才子俗称江南四大才子是指唐伯虎，文征明，徐祯卿和谁	祝枝山
扶桑和东瀛指的是哪个亚洲国家	日本
曾演唱过《小李飞刀》《铁血担心》等歌曲的香港实力派男歌手是谁	罗文
“相见时难别亦难，东风无力百花残”是李商隐哪首诗中的名句	是李商隐《无题》中的名句,相信大家都能耳熟能详吧
国民生产总值的英文简称是什么	GDP,gross domestic production
歌词“东方之珠，我的爱人”中，东方之珠指的是哪座城市	香港
集合是什么	集合具有某种特定性质的事物的总体
蔡依林《爱情36计》的歌词中“爱情36计，像一场游戏”下一句是	爱情三十六计 歌手:蔡依林 是谁说的漂亮女生没大脑 只懂的爱美和傻笑 你看你说话的表情多么的骄傲 难道不怕我Say Sorry Get Out 是谁开始先出招没
银河系是什么	银河系是太阳系所在的恒星系统,包括一二千亿颗恒星和大量的星团、星云,还有各种类型的星际气体和星际尘埃
中国共产党的生日是哪天	　 准确地说,中国共产党的生日是1921年7月23日,党的纪念日是每年的7月1日
热干面是我国哪个城市的传统美食	热干面是湖北省武汉市的汉族特色小吃,原本是武汉的特色美食,在湖北很多地方都十分受欢迎
由哥伦比亚大学颁发，美国新闻最高奖叫什么	普利策新闻奖
金庸小说中的“降龙十八掌”的第一式叫什么名字	亢龙有海
俗话说，“水能载舟”的下一句是什么	水来伸手,饭来张口
贫血的主要原因是人体内缺少哪种元素	贫血主要原因是人体内缺少铁
中国历史上唯一一位正式签署文书离婚的皇帝是	偶寻挡颈露苹韭虑铺恃M高贵
“四大名亭”中的“醉翁亭”位于哪个省	我国四大名亭中的爱晚亭是毛泽东题的
世界上最低的湖泊“死海”位于亚洲西部巴勒斯坦和哪个国家的交界处	死海Dead Sea 死海位于亚洲西部巴勒斯坦、约旦、以色列之间，地处南北走向的大裂谷地带中段
小时候的故事“铁杵磨成针”讲的是哪位唐朝大诗人的故事	成语铁杵磨成针讲的是关于哪位唐代大诗人的故事? 李白
成语“感激涕零”中的“涕”指的是什么	涕:眼泪;零:落
英语中，名词用“n”来表示，那么动词用哪个字母来表示	动词v形容词adj 副词adv 名词n祝你天天快乐，学英语要持之以恒加油
世界级名校华盛顿大学以及星巴克总部都位于美国西北部太平洋沿岸的那个城市	太平洋沿岸的 西雅图
与书法家柳公权并称为颜筋柳骨，颜体的创立人是哪一位唐朝书法家	颜真卿
在《名侦探柯南》中，长相与工藤新一十分相似，原名为黑羽快斗的怪盗是谁	怪盗基德
在新加坡版《神雕侠侣》中饰演“小龙女”的新加坡国宝级女演员是谁	范文芳
中国西北黄土高原上居民的古老穴居式住所叫什么	窑洞
蛋白质由什么元素构成	蛋白质不含P;核酸不含S
川菜“蚂蚁上树”的主要食材是肉末炒什么	蚂蚁上树其实就是粉丝炒肉末
由先锋话剧导演孟京辉执导，讲述主人公“马路”偏执地追求爱情的话剧叫什么	恋爱的犀牛
古诗词“好雨知时节”的下一句是	好雨知时节,当春乃发生.杜甫的春夜喜雨
我国的“帆船之都”是山东省的哪个城市	济南市 鲁A 鲁w 副省级省会城市,泉城,山东第一大城市,黄河流域中心城
台湾女作家三毛的丈夫叫什么名字	他是在工作时被海水淹死的
名著《红楼梦》中怡红院是哪位男主角的住所	贾宝玉
太平天国起义开始于我国广西的什么地方	广西的 金田
人耳能听到的声音的最大频率是多少	20
非洲的沙漠面积约占整个非洲面积的多少	1
当我们说一台电脑是“486”或“586”时，这实际上是指的是电脑的哪个部件	中央处理器 1
淮海战役又称“徐蚌会战”，其中“蚌”指的是安徽哪座城市	指的是安徽 蚌埠
民间所说的“千刀万剐”指的是我国古代哪种酷刑	凌
被称为“阿胶之乡”的东阿镇位于山东省的哪个城市	东阿县属于聊城市 另外,东阿镇属于平阴县,也属于济南
保存完好前的前哥伦布时期的印加遗址马丘比丘位于哪个国家	秘鲁
在亚特兰大奥运会上夺得5000米长跑金牌的中国女运动员是谁	王军霞
我们常用哪两个字母来简称个人电脑	PC
歌曲《我不做大哥好多年》是哪位已故艺人兼特技演员演唱的	?柯受良
比尔盖茨有多少钱	528
美国现任总统贝拉克.奥巴马所属政党是美国什么党	国现任总统贝拉克奥巴马 属于民主党
《诗经》中《硕鼠》一篇，“硕鼠硕鼠”的下一句	无食我黍
杰克逊伯勒克是什么国家的人	美国人以下是迈克尔-杰克逊的主要生平简历:1958年8月29日,迈克尔-杰克逊出生于美国印地安那州的盖瑞
电影画皮的主题曲是由海豚公主称号的内地女歌手是谁	中文名:张靓颖外文名:JaneZhang国籍:中华人民共和国民族:汉族星座:天秤座血型:O型身高:162cm体重:49kg出生地:四川省成都市出生日期:1984年10月11日毕业
诺贝尔发明了什么	诺贝尔一生的发明极多，获得的专利就有２５５种，其中仅炸药就达１２９种
动物中的跳高冠军是谁	猎豹
日本著名花样滑冰选手，曾获得2010年世界锦标赛冠军，2012四大洲花样滑冰锦标赛男单自由滑亚军的选手是谁	单自由滑亚军的选手是谁
按照国际惯例，接待国家元首时要鸣放多少响礼炮	21
圣经中说，夏娃是由亚当身体的一根什么造成的	亚当身体的一根 肋骨
世界共分哪几大洲	世界分为7大洲,4大洋!第一:亚洲,第二:非洲,第三:北美洲,第四:南美洲,第5:南极洲,第六,欧洲:第7:大洋州亚洲的国家有48个国家,它们是:中国
物理学中的“质量”这个单位一般是用哪个英文字母来表示的	M 英文字母来表示的
北宋末年，金军攻破北宋都城，北宋灭亡，史称什么之变	靖康
名著《红楼梦》中，香菱的父亲是谁	甄英莲,是古典名著《红楼梦》中人物,金陵十二钗副册女儿,贾府通称香菱
“霸天虎”“擎天柱”出自哪部美国动漫作品	霸天虎”“擎天柱”出自哪部美国动漫作品? 《变形金刚》
“Physics”是我们中学时期哪门科目的英文名	chinese math english physics chemistry biology politics history geography
中国福利彩票的双色球是哪两种颜色	恭喜,是5元! 如果前面中3个后面中1个特别号就是10元!
中国是世界第几大国家	1
登机牌上印有“MU2769”的航班号，MU是指哪家航空公司	　　东方航空
西方人认为哪一个数字因和“星期五”生命时会发生不好的事而被忌讳	13
80年代著名的童星，因饰演了琼瑶剧《婉君》中的“小婉君”而一举成名的是谁	金铭
有《向日葵》等著名画作的画家梵高是哪个国家的人	荷兰
编撰了《海国图志》并且提出“师夷长技以制夷”思想的是谁	魏源
打麻将和牌时，手中的牌只由一种花色组成，通常会叫做什么	清一色
古代四大美男之一，屈原的徒弟叫什么名字	宋玉!!!
与巩汉林合作了小品《如此包装》《打工奇遇》的著名小品的老艺术家是谁	赵丽蓉
北京奥运会打破男子100米世界记录的是谁	博尔特
成语“失之毫厘”的下一句是什么	失之毫厘,谬之千里·
2012年与梁振英共同竞选香港特首失败的是哪一位官员	唐英年
《白毛女》中杨白劳唱道，“扯上了二尺的什么，给我喜儿扎起来”	红头绳
中央电视台著名节目《实话实说》的第一任主持人是谁	崔永元
DVD的全名是什么	Digital Visual Disc-Random-access memory(随机存取内存,随机存取存储器)什么是DVD-RAM?DVD-RAM这个规格,早在1997年就已经被DVD Forum 所完成确认,推出
北京大学的邮编是多少	朋友，你好
《花儿为什么这样红》是哪一部60年代的经典电影主题曲	《花儿为什么这样红》本来是一首古老的塔吉克族民歌,后来由雷振邦先生改编成电影《冰山上的来客》插曲
在足球中会以什么方式选择开球权	掷硬币 选择开球权
我们通常形容显出破绽，暴露真相叫露出什么动物脚	马脚
韩国足球队前国脚安贞焕曾效力于中超的哪支球队	大连实德
用来鉴定亲子关系的脱氧核糖核酸的缩写是哪三个英文字母	DNA亲子鉴定实验操作步骤如下: 第一步:DNA提取 把样本细胞核中所含有DNA提取出来,然后进行一定的纯化,化除样本中的杂质
陆游的《卜算子·咏梅》中，“已是黄昏独自愁”的下一句是什么	　　陆游《卜算子·咏梅》　　陆游(1125—1210) 字务观,号放翁,山阴(今浙江绍兴)人
2012年中国网球公开赛中，战胜特松加并连续三次获得中网男单冠军的人是谁	德约科维奇/小德
对流层中都有哪些气体	C 试题分析:表示数据反映温室气体增多,由于温室气体能大量吸收地面辐射,加强大气逆辐射,故使近地面气温升高,故C项正确
非洲北部国家阿尔及利亚的首都是哪座城市	阿尔及尔
我国唐代哪位高僧为了弘扬佛法，曾经六次尝试东渡日本并最终取得成功	鉴真和尚
中国1997年设立的直辖市是哪个	重庆直辖市是中国最后、最近设立的一个直辖
传说阎王爷身边最有名的两位长着动物面孔的勾魂使者叫什么	我知道的 是 牛头马面 重读几次,臆想着美句勾勒的情境,想着奔了去,石一条条小鱼邻近环绕黑压压一大片就像一支整齐待
美国哪条河流称为地上河	!!黄河
名著《西游记》中平顶山莲花洞的两个妖怪是金角大王和谁	银角大王
有“计算机界的诺贝尔奖”之称的是什么奖	图灵奖被称为“计算科学界的诺贝尔奖”,它创立于1960年,现在的奖金10万美元,由Intel公司赞助
谁最先发现天王星	天王星是由威廉·赫歇耳通过望远镜系统地搜寻,在1781年3月13日发现的,它是现代发现的第一颗行
贾岛《剑客》诗中“十年磨一剑”的下一句是什么	下一句是霜刃未曾试
2013年CBA中国职业篮球联赛总冠军时哪支球队	北京金隅 马布里带领的
美国第一位由影坛跨入政坛的总统是谁	里根
中国五大戏曲中的评剧产生于哪个省	1909年左右形成于唐山
秦朝时害死李斯、杀害秦二世的大宦官叫什么	赵高
歌曲《最浪漫的事》是哪位女歌手的作品	赵咏华 赵咏华
红军二万五千里长征开始于何年	1934年10月,中央红军主力离开中央革命根据地开始长征
我们用哪个书面语表示男方到女方家里结婚落户	书面语表示 入赘
城市里的温度比郊区的温度要高，这种情况叫什么效应	热岛效应
动漫《七龙珠》中由富人出钱举办的评出天下第一的武斗比赛是	天下第一武道会
第一个竞选总统的女性是谁	世界第一位女总统伊萨贝尔·庇隆自共和制度兴起以来的近二百年间,总统职务一向为男人所独霸
英国与法国之间的海峡叫什么名字	英吉利海峡
我国的哪个省是大熊猫的产地	B甘肃 在你列出的答案中只有甘肃是正确的. 此外,四川和陕西也有大熊猫分布
《麦田里的守望者》的作者是哪位美国作家	塞林
获得诺贝尔文学奖的作家莫言原名叫什么	原名叫 管谟业
苏轼的《念奴娇.赤壁怀古》中，“羽扇纶巾，谈笑间”的下一句是什么	樯橹灰飞烟灭
郭开贞是我国哪位著名文学家的原名	郭沫若 的原名
德国大众汽车的LOGO是由哪两个字母组成	VW 两个字母组成
李连杰电影《方世玉》中雷婷婷的父亲，经典台词“我是以德服人！”的人是谁	雷老虎
历时29年的“开元盛世”是唐朝哪位皇帝治下的盛世局面	唐玄宗
“龙舌兰”酒是哪个美洲国家的著名酒种类品种	墨西哥
在2004年和2008年奥运会上，与郭晶晶搭档获得女子三米板两连冠的是哪位女跳水运动员	在2008年第29届北京奥运会上,郭晶晶获得女子单人三米板冠军,并与吴敏霞搭档获得女子双人3米板冠军
古代科举制度是与我国哪个朝代	隋朝就有了,隋文帝借鉴北魏的制度建立的,隋炀帝完善,到唐朝就巅峰了
1945年，国共两党在哪个城市举行和平谈判，并签署《双十协定》	签署了《政府与中共代表会谈纪要》,又称《双十协定》
哪个岛屿最大	最大的岛:台湾岛 最大的瀑布:黄果树瀑布最大的咸水湖:青海湖
牛郎织女每年只能在农历的那一天才能相会	七月初七
抵达北极点的第一人是谁	第一个到达北极点的人-皮尔里 一个世纪以前,英国政府为了奖励北极探险者,曾拨出一笔资金,准备奖给第一个到达北极的探险家
化学元素周期表的第一位是什么元素	氢的质子数是1,氦的质子数是2,所以这么排的,氯的质子数是17,所以应该在17位 精锐化学老师
周星驰版《九品芝麻官》中扮演戚秦氏的女明星是谁	张敏
哪条河流将上海市分割成浦西和浦东，并成为上海重要的旅游景点	黄浦
“堪羡优伶有福，谁知公子无缘。”是《红楼梦》中对谁的判词	公子指的是贾宝玉，袭人早在宝玉落魄前就嫁给了蒋玉菡，所以说“公子无缘”
素有“巴蜀之地”“天府之国”之称的是我国哪个省	四川省,答案省
《哈利·波特》中，魔法界的第一大报纸叫什么名字	《预言家日报》,是小说《哈利·波特》系列中虚拟的报纸,在魔法界影响很大
金沙江发源于我国西部地区哪个省	金沙江是长江上游的一段,蜿延于四川、西藏、云南三省
“明天你是否会想起，昨日你写的日记”是老狼的哪首歌	老狼-同桌的你
“冲冠一怒为红颜”的“红颜”指的是哪位明末清初的苏州名妓	陈圆圆
张克帆原来是台湾哪个流行组合的主唱	红孩儿
中国古代诗歌体裁中，绝句是指有几句话的诗	4句
在鸿门宴上多次示意项羽杀掉刘邦，又指使项庄舞剑进行行刺的谋士是谁	秦末农民战争中为项羽主要谋士,被项羽尊为“亚父”
由法国人大卫贝尔创立并在电影《暴力街区13》中展示的极限运动叫什么	跑酷
清朝“太平天国”运动的发起人，后成为太平天国天王的人是谁	洪秀全
电影《画皮》的故事出自哪本清代文言短篇小说集	《聊斋志异》哦
被称为“绵羊之国”的大洋洲国家是哪里	澳大利亚被称为绵羊之国
我们常用什么植物来比喻无主见的人顺风两边倒	墙头草两边倒
最早提出冷战概念的是那位美国总统	杜鲁门 美国总
生铁又硬又脆是因为它含哪种元素过多	生铁的组成一般有C,Si,Mn,P,S五大元素,其中C碳和Si硅的含量和组织形态是决定生铁硬度的关键,含碳量,含硅量低,生铁的硬度上不去,生铁变脆有两种
我们在电视剧中听到的道教的咒语常用“太上老君什么令”	急急如律令
琼瑶剧《还珠格格》中，小燕子和紫薇在皇宫里居住的地方叫什么	琼瑶剧《还珠格格》中,小燕子和紫薇在皇宫里居住的地方叫漱芳斋
诸葛亮在生前最后一站在五丈原对阵的是谁	司马懿
“破釜沉舟”这个成语出自哪场项羽与秦朝军队之间的战争	“破釜沉舟”这个成语出自巨鹿一战
公认为全世界规模最大的网络搜索引擎是哪一个	谷
以钟表和军刀闻名于世的欧洲国家是	瑞士 以钟表和军刀闻名于世
篮球比赛中最多能带球走几步	3步 正确的说是 第3步的时候就要把球传出或投出~
我们通常喝的“拿铁”实际上是咖啡和什么饮料调和而成的	牛奶 调和而成的
用从餐饮企业回收的剩菜，非法提炼出来的劣质食用油叫什么	地沟油
我堂弟是高一的学生，人又高又瘦，过年回家我给他带什么礼物好	钢笔什么的!看他喜欢什么吧 熟人不用太注重外表,实用才好!
在升空不久后爆炸解体坠毁的美国正式使用的第二架航天飞机是什么号	挑战者号
世界上现存最古老的石拱桥是我国河北省什么桥	赵州桥
相传洛神是我国哪位中华民族的人文始祖的女儿	伏羲 伏羲
世界著名永久中立国之一，也是众多国际组织总部所在地的国家是	瑞士
2002年世界杯日本国家队身披23号战袍的主力门将叫什么	川口能活
我国最大的盐湖是哪个湖	青海湖 柴达木盆地的察尔汗盐湖
“走四方路迢迢水长长，迷迷茫茫一村又一庄”这首《走四方》的原唱是哪位男歌手	曲目:走四方 演唱者:韩磊[1] 走四方 路迢迢水长长 迷迷茫茫一村又一庄 看斜阳落下去又回来 地不老天不荒岁月长又长 走四方 路迢迢水长长 迷迷
“在天愿作比翼鸟，在地愿为连理枝”出自哪位唐朝诗人所写的《长恨歌》	白居易《长恨歌》
一加仑是多少立方米	1
哪块大陆最冷	最凉快的是 四季城市 昆明和哈尔滨 最热的是中国有三大火炉,是重庆,武汉,南京. 但他们都不是最热的城市,最热的是新疆吐鲁番
中国第一个进去美国WNBA打球的女子篮球运动员是谁	一、中国第一个进去美国WNBA打球的女子篮球运动员是郑海霞
在我国哪个城市需要预先摇号才能获得购买小轿车并且上牌的资格	在我国哪个城市需要预先摇号才能获得购买小轿车并且上牌的资 格? 北京
湖水中的“湖”是什么结构的汉字	左中右结构包含在左右结构内,以上字如果细说就可以说为左中右,粗点分就是左右
现今最流行的汽车是什么型号的	天幕贴膜吧,口碑都很不错
“风吹草低见牛羊”描绘的是哪个省的景色	答:内蒙古高
《射雕英雄传》中，杨铁心的干女儿叫什么名字	穆念慈
产煤最多的大陆在哪里	辽宁朝阳现有一2.7平方公里的钒钛磁铁矿源,寻求有实力单位或个人合作开发,如有兴趣请来实地考
位于玻利维亚和秘鲁两国交界，南美洲地势最高，面积最大的淡水湖是什么	的的客客湖
辛弃疾的词《南乡子。登京口北固有怀》中写到“生子当如”哪一位三国时期的人物	孙权
传说昭君出塞时随身抱着哪一种乐器	琵琶
俗语“一回生”的下一句是什么	二回
滑铁卢战败后，拿破仑被放逐到哪个岛屿	　　拿破仑一生最大的失败 　　滑铁卢战役之后,拿破仑被流放到南大西洋上一个叫做圣赫勒拿(St Helena)的孤岛上
“生于忧患，死于安乐”是出自我国哪部著名的儒家典籍	《孟子》
广州最著名的城市标识是五只什么动物	羊
清朝紫禁城中专为皇帝皇后准备食物的厨房，被称为什么	御膳房
人类最早发现的抗生素的发现者在哪年获得了诺贝尔生理医学奖	获得了
中央电视台有哪几个频道	中央电视台频道 CCTV-1：综合频道 CCTV-2：经济频道 CCTV-3：综艺频道 CCTV-4：中文国际频道 CCTV-5：体育频道 （2008年1月1日——
古代皇帝隐蔽自己的身份穿上平民衣服秘密来到民间探查被称作什么	微服私访
柳宗元的《江雪》中，“千山鸟飞绝”的下一句是什么	千山鸟飞绝, 万径人踪灭
我国在信封上填在六个方格中的阿拉伯数字叫做什么	邮政编码
“西湖景致六座桥，一枝杨柳一枝桃”描绘了杭州西湖的哪处景物	苏堤
古人称“盘缠”是指什么意思	路费
被誉为“20世纪最伟大的小说”的是法国作家罗曼·罗兰哪部代表作	约翰克里斯多夫
高考要求考生用墨的深度适合涂抹答题卡的什么铅笔	高考要求使用2b铅笔进行涂卡
赛扬M的CPU得达到多少HZ才行	512
什么洲的发达国家最多	欧洲
“日出江花红胜火，春来江水绿如蓝”出自白居易的哪首诗	忆江南 唐-白居易 江南好, 风景旧曾谙. 日出江花红胜火, 春来江水绿如蓝. 能不忆江南
哪位好莱坞巨星与吴彦祖，龚蓓苾合作了电影《形影不离》	凯文.史派西
电影《东成西就》中，段王爷成仙的条件是真心人对他说三遍什么话	我爱你
历史上汉朝的“文景之治”中的“文”是指哪个皇帝	汉文帝 汉文帝
以第一台有实用价值的蒸汽机的发明者命名，功率的单位是什么	功率的单位是 瓦特
张艺谋导演的《红高粱》，男主角余占鳌的扮演者是哪位著名演员	姜文
歇后语中用“扮猪吃哪种动物”来形容“大智若愚”	老虎
当年明月是哪部以明朝史事为题材小说作者的笔名	《明朝那些事儿》
光棍节在几月份	11.11
胡亥在李斯和哪个宦官的帮助下逼死扶苏而当上秦朝的二世皇帝	赵高
唐朝诗人白居易的《长恨歌》是描写唐玄宗和他的哪位妃子的诗句	杨贵妃 杨贵妃
我们常常用什么容器来形容“美丽却无肉涵的女人”	花瓶蛮
在意大利罗马的许愿池，为了实现愿望，人们许愿后会往池中扔什么	硬币
林升的诗句“山外青山楼外楼”的下一句是什么	诗词原文: 　　　题临安邸 　　南宋 林升 　　山外青山楼外楼, 　　西湖歌舞几时休. 　　暖风熏得游人醉, 　　直把杭州作汴州.美丽的西湖大部分
近期，由陈坤、赵薇、周迅、杨幂主演的魔幻爱情故事电影是	中文名 画皮Ⅱ , 画皮2 外文名 Painted Skin: The Resurrection 其它译名 转生术(中国台湾地区) 出品公司 宁夏电影,鼎龙达,华谊,麒麟 发行公司 华谊兄
电视剧《康熙王朝》中饰演孝庄皇太后的是哪位著名女演员	斯琴高娃,著名演员,成名作为《骆驼祥子》,她饰演了虎妞一角
现效力于CBA北京首钢篮球队，被称为“独狼”的前NBA巨星是谁	在NBA时期绰号“独狼”
世界上面积最大的高原是哪个高原	世界地理之最 世界面积最大的洲：亚洲(面积4400万平方公里)
福特Fiesta汽车一加仑汽油能够在高速公路上跑多少英里	1000
清朝政府统治中国多少年	1644
衡量光强弱的单位是什么	解答:解:(1)分析表中的6组数据,发现每一组的光强与电阻的乘积是一定的,都是36,所以电阻R与光强E的关系式为:R=36E;第
踏破铁鞋无觅处，下一句	得来全不费工夫
朝鲜战争爆发在哪年	抗美援朝战争中,第五次战役发生在1951年(选项B)
卡拉OK是哪国人发明的	卡拉OK最早是起源于日本,是日本人井上大佑的创意
出资修建了厦门大学的著名的爱国华侨领袖是谁	小题1:C小题1:B 略
2004年黎明和哪位北京出生的天后合作了影片《大城小事》	王菲.......... 王菲
电影《重庆森林》中，两位主要男演员是梁朝伟和谁	金城武
毛泽东《水调歌头.游泳》词中“不管风吹浪打”的下一句是什么	胜似闲庭信步
印度电影《三傻大闹宝莱坞》中，三位主人公的关系是什么	你是说Aamir Khan吧 兰彻 我个人认为不错的是 地球上的星星 未知死亡
薄伽丘的小说《十日谈》的故事背景是哪座意大利著名城市	佛罗伦萨
俄罗斯的君王被称为“沙皇”，那么文莱国王称为什么	文莱国王称 苏丹
戏曲及小说《杨家将》中，穆桂英是杨家将中谁的妻子	没有
二次世界大战时盟军在法国的什么地方登陆，开辟了欧洲战场	诺曼底
于2012年完婚的SHE成员ELLA的老公是谁	赖斯翔
开创“芸式唱腔”，代表作有《如果云知道》等歌曲的女歌手是谁	许茹芸
电视剧《双面胶》的原著作者是谁	《双面胶》根据网络小说改编,但结局做了大修改,丈夫并没有把妻子杀死,相对比较温
演唱了电影《狮子王》主题曲和《风中之烛》的是哪位英国著名音乐人	艾尔顿·约翰
广东话中的“大佬”是什么意思	"大佬"这个词通常指对男性的称呼,比如自己的哥哥也可以称作"大佬",在社会上也可称那些比自己年长或是上级的男性为"大佬",这是一个泛称,无贬义
世界上最长的山脉叫什么	安第斯山脉(Andes,Cordillera delos)(奇楚亚语:Antis)是陆地上最长的山脉,位于南美洲的西岸,范围从巴拿马一直到智利.山脉形成　　阿尔卑斯山脉上是古地
2000年奥运会中国得了多少枚金牌	48
《灌篮高手》中有红色头发并称自己是天才的是哪位人物	樱木花道
梁静茹的歌曲《勇气》MV中的女主角是由哪位台湾女艺人扮演的	?萧淑慎
我国古代的医学巨著《本才纲目》成熟与我国哪个朝代	成熟与我国 明代
夜盲症缺呐喊总维生素所导致	维生素A
出自《周易》，“兄弟同心”，后半句是什么	其利断金
人耳一般所能听到的声波频率是多少	20
著名哲学家黑格尔是哪个国家的	黑格尔:德国近代客观唯心主义哲学的代表、政治哲学家
今年几点立春	公历(阳历)2015年2月4日11时58分27秒, 农历(阴历)2014年腊月十六,星期三
我们常把什么人称为“三只手”	小偷
织女星位于哪个星座	织女星位于天琴座
2002年日韩世界杯足球赛的冠军球队是哪个国家队	里瓦尔多
上海除了浦东国际机场以外还有一座什么国际机场	虹桥机场
英国作家简.奥斯汀所作《最初的印象》后又改名为了什么	傲慢与偏见
常温通常指多少度	标注的保存方式大多为:常温保存
贝多芬的C小调第五交响曲又被称作什么	贝多芬《 C 小调第五交响曲》又被称作什么交响曲:命运
我国著名京剧演员梅葆玖是哪位京剧名角的儿子	梅兰芳
蔡依林的歌曲《说爱你》是有哪位天王级男歌手作曲的	周杰伦
外出旅游你会选择什么交通工具	保护铁路,人人有责 铁路是人民经济的动脉,它在我国建设中有重要的作用
国外译名为《105个男人和3个女人的故事》的是我国哪一部名著	水浒传
潘帕斯平原大部分在哪个国家境内	阿根廷
哪一条山脉的主轴分水岭为南欧和西亚的分界线	 高加索山脉 第二轮
在同一平面内，永不相交的两条直线称之为什么线	平行线
按词语性质来说，“一场电影”中的“一”是数词，那么“场”是什么性质的词语	量词
刚上映的《麦兜当当伴我心》中，为校长这一角色配音的是哪个香港演员	黄秋生
中关村位于北京的哪个区	在海淀区
中国营养学会推荐的钙供给量成人每天在600毫克到几百毫克之间	800哦
一年的四季是地球围绕太阳进行的哪种运动而形成的	地球绕太阳公转造成的
美国独立战争期间的主要领导人之一，起草《独立宣言》的美国第三任总统是谁	托马斯·杰斐逊
“天下第一村”华西村在我国哪个省	江苏
梦幻西游最厉害的门派是哪个	梦幻里没有那个门派是最厉害的,12门派都是相生相克的,这要看你怎么练而已,PK时看你怎么配合、策略的 至于要找容易组到队的有:DT、STL、LG、HS、MW
周星驰电影《九品芝麻官》中，饰演捕头“豹子头”的是哪个香港影星	徐锦
出自论语“知之为知之”的下一句是	不知为不知
